Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
1.0,05-02-2010,0.5998746668431593,0.0,42.31,2.572,0.8404997636089546,8.106
1.0,12-02-2010,0.5992420303803527,0.00032971258418056017,38.51,2.548,0.8419410339432807,8.106
1.0,19-02-2010,0.3806653800505241,0.0,39.93,2.514,0.8424053381244386,8.106
23.0,26-02-2010,0.5144883753424039,0.0,46.63,2.561,0.8427068144486607,8.106
1.0,05-03-2010,0.5674358459069309,0.0,46.5,2.625,0.843008290772883,8.106
1.0,12-03-2010,0.5618872315085555,0.0,MISSING,3.358615073815074,0.4498853910227871,MISSING
1.0,19-03-2010,0.537403299686771,0.0,testt,2.72,0.8416787515181013,8.106
1.0,26-03-2010,3.029134010184204e-07,0.0,51.45,2.732,0.8397256534610036,8.106
1.0,02-04-2010,6.934162191987937e-08,0.0,62.27,2.719,0.8377725563923525,7.808
1.0,09-04-2010,1.6058059813024698e-07,0.0,65.86,2.77,0.8358194593237013,7.808
1.0,16-04-2010,6.934162191987937e-08,0.0,66.32,2.808,0.834493384575531,7.808
1.0,23-04-2010,0.5077471032948018,0.0,64.84,2.795,0.8340033402469664,greg
1.0,30-04-2010,2.262726610017116e-07,0.0,67.41,2.78,0.8335132959184016,7.808
1.0,07-05-2010,0.5853728592986777,0.0,72.55,2.835,0.833023251589837,7.808
1.0,14-05-2010,1.4963192098500286e-07,0.0,74.78,2.854,0.8329981223026542,7.808
1.0,21-05-2010,0.510814904383104,0.0,76.44,2.826,0.8357624852406581,7.808
1.0,28-05-2010,3.138620781636645e-07,0.0,80.44,2.759,0.8385268471902152,7.808
1.0,04-06-2010,0.5895952494857725,0.0,80.69,2.705,0.8412912091397722,7.808
1.0,11-06-2010,0.0,0.0,80.43,2.668,0.8440555720777762,7.808
1.0,18-06-2010,0.5486323615050277,0.0,84.11,2.637,0.844032608477893,7.808
1.0,25-06-2010,1.861275114691499e-07,0.0,84.34,2.653,0.8428947152513021,7.808
1.0,02-07-2010,0.5446667798394926,0.0,80.91,2.669,0.8417568220247115,7.787
1.0,09-07-2010,3.2846031435732325e-08,0.0,80.48,2.642,0.8406189287981206,7.787
1.0,16-07-2010,0.5287987817625913,0.0,83.15,2.623,0.8405395703451155,7.787
1.0,23-07-2010,4.014514953256175e-08,0.0,83.36,2.608,0.8418715906017784,7.787
1.0,30-07-2010,0.500714578187341,0.0,81.84,2.64,0.8432036108584412,7.787
1.0,06-08-2010,2.5181957434061453e-07,0.0,87.16,2.627,0.8445356311151038,7.787
1.0,13-08-2010,0.5504402435708409,0.0,87,2.692,0.8458676523602134,7.787
1.0,20-08-2010,1.4598236193658813e-07,0.0,86.65,2.664,0.8455112401305895,7.787
1.0,27-08-2010,0.5288732327671789,0.0,85.22,2.619,0.8451548288894123,7.787
1.0,03-09-2010,1.6058059813024698e-07,0.0,81.21,2.577,0.8447984176482353,7.787
1.0,10-09-2010,0.5501566472858657,0.00032971258418056017,78.69,2.565,0.8444420064070579,7.787
1.0,17-09-2010,2.116744248080528e-07,0.0,82.11,2.582,0.8447115499636396,7.787
1.0,24-09-2010,0.4933440856642017,0.0,80.94,2.624,0.8454505623367697,7.787
1.0,01-10-2010,1.4963192098500286e-07,0.0,71.89,2.603,0.8461895737214526,7.838
1.0,08-10-2010,0.5504410355251543,0.0,63.93,2.633,0.8469285851061357,7.838
1.0,15-10-2010,0.5326199357783444,0.0,67.18,2.72,0.8475907378201877,7.838
1.0,22-10-2010,0.4910313491465441,0.0,69.86,2.725,0.8480607453403316,7.838
1.0,29-10-2010,4.7444267629391154e-08,0.0,69.64,2.716,0.8485307528604756,7.838
1.0,05-11-2010,0.5662871836920329,0.0,58.74,2.689,0.8490007603806197,7.838
1.0,12-11-2010,0.5454190816939376,0.0,59.61,2.728,0.8494707679007636,7.838
1.0,19-11-2010,0.5415157651553276,0.0,51.41,2.771,0.8483412665889029,7.838
1.0,26-11-2010,0.7137165337488137,0.00032971258418056017,64.52,2.735,0.8469451801422254,7.838
1.0,03-12-2010,0.5649640360590301,0.0,49.27,2.708,0.8455490946839951,7.838
1.0,10-12-2010,0.6140799769114296,0.0,46.33,2.843,0.8441530082373179,7.838
1.0,17-12-2010,0.690144331118945,0.0,49.84,2.869,0.8435536120210525,7.838
1.0,24-12-2010,0.8714964931113387,0.0,52.33,2.886,0.8435517319949255,7.838
